pid,gender,cond,feasible,achieved_class,fallback_depth,n_valid_cands,n_changed_vars,mean_l1_dist,diversity,anthro_viol,energy_viol,conflict_viol,any_viol,reached_target,reached_but_outside
8845,Male,B2_mc,True,0.0,0.0,4,24.5,8.3139,9.2767,0.0,0.0,0.0,0.0,,
8845,Male,B1_soft,True,0.0,0.0,1,25.0,9.8956,0.0,0.0,0.0,0.0,0.0,True,False
8989,Male,B2_mc,True,0.0,0.0,4,24.75,9.654,11.7942,0.0,0.0,0.0,0.0,,
8989,Male,B1_soft,True,1.0,1.0,1,25.0,13.7827,0.0,0.0,0.0,0.0,0.0,True,False
3752,Male,B2_mc,True,1.0,1.0,4,24.0,7.1792,7.2869,0.0,0.0,0.0,0.0,,
3752,Male,B1_soft,False,,,0,,,,,,,,True,True
7745,Male,B2_mc,True,0.0,0.0,4,23.25,6.2982,6.9867,0.0,0.0,0.0,0.0,,
7745,Male,B1_soft,False,,,0,,,,,,,,True,True
8076,Male,B2_mc,True,0.0,0.0,4,23.5,6.5467,8.4683,0.0,0.0,0.0,0.0,,
8076,Male,B1_soft,False,,,0,,,,,,,,True,True
2601,Male,B2_mc,True,0.0,0.0,4,23.25,8.2403,8.2122,0.0,0.0,0.0,0.0,,
2601,Male,B1_soft,False,,,0,,,,,,,,True,True
8843,Male,B2_mc,True,0.0,0.0,4,23.25,5.1783,6.414,0.0,0.0,0.0,0.0,,
8843,Male,B1_soft,False,,,0,,,,,,,,True,True
3197,Male,B2_mc,True,0.0,0.0,4,23.0,8.1056,8.4035,0.0,0.0,0.0,0.0,,
3197,Male,B1_soft,False,,,0,,,,,,,,True,True
6589,Male,B2_mc,True,0.0,0.0,4,23.5,8.3932,8.6087,0.0,0.0,0.0,0.0,,
6589,Male,B1_soft,False,,,0,,,,,,,,True,True
6419,Male,B2_mc,True,0.0,0.0,4,24.25,8.4287,8.2683,0.0,0.0,0.0,0.0,,
6419,Male,B1_soft,False,,,0,,,,,,,,True,True
3027,Male,B2_mc,True,0.0,0.0,4,23.5,7.1333,7.5027,0.0,0.0,0.0,0.0,,
3027,Male,B1_soft,False,,,0,,,,,,,,True,True
6352,Male,B2_mc,True,0.0,0.0,4,24.75,11.3775,10.5355,0.0,0.0,0.0,0.0,,
6352,Male,B1_soft,False,,,0,,,,,,,,True,True
5447,Male,B2_mc,True,0.0,0.0,4,24.0,10.5512,9.0668,0.0,0.0,0.0,0.0,,
5447,Male,B1_soft,False,,,0,,,,,,,,True,True
7856,Male,B2_mc,True,0.0,0.0,4,23.25,8.4599,9.1937,0.0,0.0,0.0,0.0,,
7856,Male,B1_soft,False,,,0,,,,,,,,True,True
8516,Male,B2_mc,True,0.0,0.0,4,23.0,8.9838,9.3609,0.0,0.0,0.0,0.0,,
8516,Male,B1_soft,False,,,0,,,,,,,,True,True
3849,Male,B2_mc,True,1.0,1.0,4,23.75,12.6937,13.7072,0.0,0.0,0.0,0.0,,
3849,Male,B1_soft,False,,,0,,,,,,,,True,True
2733,Male,B2_mc,True,0.0,0.0,4,23.75,6.9112,7.2615,0.0,0.0,0.0,0.0,,
2733,Male,B1_soft,False,,,0,,,,,,,,True,True
8363,Male,B2_mc,False,,,0,,,,,,,,,
8363,Male,B1_soft,False,,,0,,,,,,,,False,False
